Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
REST_API,,,,2022-05-16 19:15:49,2022-05-16 19:16:26,37.399s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC01_GetAllCategories,,,,2022-05-16 19:15:49,2022-05-16 19:15:52,2.926s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/GetAllCategories""))",,,,2022-05-16 19:15:50,2022-05-16 19:15:52,2.182s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-16 19:15:52,2022-05-16 19:15:52,0.041s,PASSED
"verifyElementPropertyValue(Response, ""data[0].ID"", 1)",,,,2022-05-16 19:15:52,2022-05-16 19:15:52,0.121s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC02_CreateCategory,,,,2022-05-16 19:15:52,2022-05-16 19:15:53,1.060s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory""))",,,,2022-05-16 19:15:53,2022-05-16 19:15:53,0.532s,PASSED
"verifyResponseStatusCode(Response, 200)",,,,2022-05-16 19:15:53,2022-05-16 19:15:53,0.000s,PASSED
"verifyElementPropertyValue(Response, ""data.Name"", ""health"")",,,,2022-05-16 19:15:53,2022-05-16 19:15:53,0.052s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC03_CreateCategoryInvalidName,,,,2022-05-16 19:15:53,2022-05-16 19:15:54,0.884s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_InvalidName""))",,,,2022-05-16 19:15:54,2022-05-16 19:15:54,0.432s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-16 19:15:54,2022-05-16 19:15:54,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""invalid character 'h' looking for beginning of value"")",,,,2022-05-16 19:15:54,2022-05-16 19:15:54,0.041s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC04_CreateCategoryEmptyName,,,,2022-05-16 19:15:54,2022-05-16 19:15:55,0.856s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_EmptyName""))",,,,2022-05-16 19:15:55,2022-05-16 19:15:55,0.362s,PASSED
"verifyResponseStatusCode(Response, 500)",,,,2022-05-16 19:15:55,2022-05-16 19:15:55,0.000s,PASSED
"verifyElementPropertyValue(Response, ""error"", ""ERROR: new row for relation ""categories"" violates check constraint ""categories_name_check"" (SQLSTATE 23514)"")",,,,2022-05-16 19:15:55,2022-05-16 19:15:55,0.034s,PASSED
,,,,,,,
Test Cases/REST_API/01_Categories/TC05_CreateCategory_EmptyData,,,,2022-05-16 19:15:55,2022-05-16 19:15:56,0.721s,PASSED
"Response = sendRequest(findTestObject(""REST_API/01_Categories/CreateCategory_EmptyData""))",,,,2022-05-16 19:15:55,2022-05-16 19:15:56,0.343s,PASSED
"verifyResponseStatusCode(Response, 400)",,,,2022-05-16 19:15:56,2022-05-16 19:15:56,0.000s,PASSED
